Bundeslandname,count,mean_zust,median_zust,mean_age
Freistaat Bayern,11017,2.2023509122265588,2.3,39.39248434237996
Nordrhein-Westfalen (NRW),8959,2.1935707110168545,2.2,45.89887264203594
Land Baden-WÃ¼rttemberg,5956,2.2201645399597045,2.2,44.49983210208193
Niedersachsen,5545,2.2477006311992787,2.3,45.217493237150585
Hessen,4681,2.2393292031617174,2.3,46.136082033753475
Rheinland - Pfalz,4223,2.18091404215013,2.2,49.53729576130713
Freistaat Sachsen,2107,2.0781205505458,2.0,32.24916943521595
Brandenburg,1833,2.06164757228587,2.0,27.902891434806328
Thueringen,1751,1.943061107938321,2.0,28.193032552826956
Schleswig - Holstein,1632,2.253860294117647,2.3,42.346200980392155
Sachsen-Anhalt,1581,2.2919038583175206,2.3,27.290955091714103
Mecklenburg-Vorpommern,987,2.2628166160081054,2.3,26.98480243161094
Saarland,777,2.4216216216216213,2.4,50.89060489060489
Freie Hansestadt Bremen,277,2.2971119133574005,2.4,46.371841155234655
Berlin,237,2.3337552742616037,2.4,49.586497890295355
Freie u. Hansestadt Hamburg,233,2.347639484978541,2.4,45.23605150214592
